"CODI","NOM","CARRER","NUMERO_CARRER","X_ETRS89","Y_ETRS89","LATITUD","LONGITUD"
"02-021","Floridablanca","C VILADOMAT","81-83","429630.988298506","4581137.957220387","41.378687335","2.158453891"
"02-022","Viladomat","C VILADOMAT","39","429838.886971874","4580921.225307156","41.376753455","2.160964993"
"02-023","Tamarit","C COMTE BORRELL","79","429846.748455662","4581114.975544715","41.378499186","2.161036571"
"02-024","Sepúlveda","C CASANOVA","20","429959.342250735","4581591.715419080","41.382802837","2.162327842"
"02-025","Diputació","C COMTE BORRELL","151","429451.640871489","4581512.999159176","41.382049507","2.156265630"
"02-026","Aribau","C DIPUTACIO","207","429899.145149958","4581985.426478932","41.386343619","2.161562419"
"02-027","València","C MUNTANER","90","429571.366112107","4582178.449266794","41.388053479","2.157620001"
"02-028","Enric Granados","C MALLORCA","210-208","429630.438293208","4582453.449237297","41.390535478","2.158294529"
"02-029","Aribau","C MALLORCA","195","429524.967477610","4582367.529908457","41.389752399","2.157043097"
"02-030","Enric Granados","C ROSSELLO","180-178","429442.519451553","4582643.960957396","41.392234887","2.156024831"
"02-031","Rosselló","C MUNTANER","156","429286.707949467","4582477.951889427","41.390726019","2.154180664"
"02-032","Doctor Letamendi / costat mar","PL DOCTOR LETAMENDI","35","429863.227255265","4582269.707186239","41.388900909","2.161099956"
"02-034","Córsega","C BALMES","145","429467.030967479","4582838.411067306","41.393988380","2.156295350"
"02-035","Rambla Catalunya","C MALLORCA","238","429856.600318816","4582674.067853256","41.392542270","2.160973873"
"02-036","Pau Claris / Passeig de Gràcia","C PROVENÇA","298-296","429951.272616907","4582957.137564010","41.395100032","2.162073445"
"02-037","València","C ROGER DE LLURIA","87","430287.103144229","4582958.375012670","41.395140360","2.166090115"
"02-038","Rambla Catalunya","C DIPUTACIO","253","430226.418127942","4582310.954486788","41.389303997","2.165438857"
"02-040","davant boca metro central","PL CATALUNYA","9","430566.166683561","4582051.711517471","41.386998478","2.169531890"
"02-041","Casp","C BRUC","29","430902.870729910","4582515.479674965","41.391204486","2.173505757"
"02-043","Sant Joan, Pg","PL TETUAN","1","431151.173439054","4582821.318260769","41.393980373","2.176440728"
"02-044","Bruc","C DIPUTACIO","321","430700.402361416","4582771.281598091","41.393490992","2.171054937"
"02-045","Consell de Cent","C GIRONA","73","430702.943483748","4582918.371802751","41.394816005","2.171068499"
"02-046","Roger de Flor","C ROGER DE FLOR","424","430995.876217715","4583218.320040893","41.397542731","2.174538031"
"02-047","Consell de Cent","C NAPOLS","180","431091.317057983","4583309.409456755","41.398371329","2.175669262"
"02-048","Pg. Sant Joan","PG SANT JOAN","89","430666.286494881","4583321.792693648","41.398446324","2.170583860"
"02-049","Roger de Flor","JARD CONSTANÇA D' ARAGÓ","377","430884.336954204","4583337.841067064","41.398609639","2.173190232"
"02-050","Nàpols","C MALLORCA","360","430787.058642856","4583579.642170720","41.400779094","2.171998994"
"02-051","Provença / Rosselló","C ROGER DE FLOR","213-215","430548.648790793","4583647.574078743","41.401370375","2.169139368"
"02-052","Padilla","C INDUSTRIA","138","430906.395641842","4584475.342624016","41.408856631","2.173324243"
"02-053","Cartagena","C INDUSTRIA","171-173","431097.567340940","4584659.801455991","41.410534400","2.175590301"
"02-054","Cartagena","C MALLORCA","496","431483.144954439","4584267.927945108","41.407037884","2.180247608"
"02-055","Sardenya","C MALLORCA","406","431002.590603439","4583793.580863596","41.402724494","2.174552782"
"02-056","Lepant","C ENAMORATS","9","431430.380663802","4583714.627505461","41.402049986","2.179679066"
"02-057","Diagonal","C PADILLA","186-172","431568.121108321","4583745.106509092","41.402336236","2.181323294"
"02-058","Gran Via de les Corts Catalanes","C CASTILLEJOS","175","431814.911063815","4583689.174556074","41.401853442","2.184281748"
"02-059","Sardenya","C DIPUTACIO","429-431","431336.448131500","4583400.757739744","41.399215044","2.178591030"
"02-060","Casp","C SARDENYA","172.B","431572.766738314","4583169.555598928","41.397152823","2.181443917"
"02-061","Carles I","C AUSIAS MARC","149","431721.637048318","4583180.094487892","41.397260398","2.183223405"
"02-063","Provença","C ARIBAU","113","429428.388303699","4582495.810838904","41.390899312","2.155873081"
"02-064","Borrell, 324","C COMTE BORRELL","324","428511.796669618","4582466.937767780","41.390558317","2.144914042"
"02-065","Casanova davant bombers","PL DOCTOR FERRER I CAJIGAL","154","429214.556860939","4582349.362241929","41.389561511","2.153332765"
"02-067","Vilamarí","C VILAMARI","89-99","428601.929071699","4581448.395521866","41.381392689","2.146112054"
"02-068","Diputació","C PAU CLARIS","107","430472.930523339","4582575.833023133","41.391711018","2.168356686"
"02-069","Bailen","C DIPUTACIO","324","430862.803686874","4582912.560583361","41.394777424","2.172981219"
"02-070","Consell de Cent (gasolinera)","C SARDENYA","225-227","431241.868797412","4583507.528618012","41.400168613","2.177447582"
"02-071","Sant Antoni Maria Claret","C LEPANT","353","430725.865078884","4584438.033933981","41.408505067","2.171168759"
"02-072","Padilla","C ROSSELLO","475","431099.944522985","4584289.000877266","41.407194928","2.175660959"
"02-073","Provença / Lepant / Padilla","PL GAUDÍ","445-447","431052.402303149","4584006.890809896","41.404649980","2.175124345"
"02-074","Provença (gronxadors) / Av Gaudí","PL GAUDÍ","5","431121.002279664","4583989.870264839","41.404502562","2.175946917"
"02-075","Padilla","C MALLORCA","456-454","431295.733261284","4584083.419084034","41.405360078","2.178026535"
"02-076","Parc del Nord","PARC ESTACIÓ DEL NORD","SN","431690.793287814","4582691.753977130","41.392859441","2.182909560"
"02-078","Pg Sant joan","C DIPUTACIO","357","430991.334969348","4583055.079826993","41.396072089","2.174502315"
"02-079","Rda Sant Pau","C MANSO","78","430018.898677981","4581109.414227378","41.378464088","2.163095748"
"02-080","Floridablanca","C VILLARROEL","17","429937.260699991","4581392.085281316","41.381002911","2.162086860"
"02-081","Villarroel","C DIPUTACIO","159","429653.742947714","4581745.327978058","41.384159711","2.158655479"
"02-082","Muntaner","C CONSELL DE CENT","232","429725.284986351","4581999.117822109","41.386451763","2.159481600"
"02-083","Consell de Cent","C ENRIC GRANADOS","15-17","429941.246762551","4582189.076469761","41.388181495","2.162042370"
"02-084","Consell de Cent","C ROGER DE LLURIA","49","430486.691809471","4582742.193172262","41.393210559","2.168502180"
"02-085","Pg. St. Joan 65","PG SANT JOAN","65","430797.075644047","4583183.311492921","41.397210336","2.172164117"
"02-086","València","C MARINA","235","431186.540764391","4583777.369446510","41.402594249","2.176755086"
"02-087","Girona","C CASP","47","430966.821579624","4582614.239341227","41.392099475","2.174259362"
"02-088","València","C VALENCIA","352","430596.465485714","4583203.303042308","41.397373104","2.169762280"
"02-089","Aragó","C BRUC","100","430480.213518492","4582968.273565326","41.395246230","2.168398743"
"02-090","Sardenya","C ALI BEI","111","431761.645885815","4583019.083939750","41.395813620","2.183720107"
"02-091","Casp","C SICILIA","152","431467.705870253","4583076.736253051","41.396307880","2.180197762"
"02-092","Gran Via de les Corts Catalanes","C ROGER DE FLOR","699.A","431147.824998290","4583027.068599441","41.395833215","2.176377285"
"02-093","Consell de Cent","C CONSELL DE CENT","546","431667.052238321","4583873.585955285","41.403501825","2.182492225"
"02-094","Provença / Mallorca","PL SAGRADA FAMILIA","235","430846.790059837","4583753.781982683","41.402352653","2.172693602"
"02-095","Provença / Mallorca","PL SAGRADA FAMILIA","15","430890.940784131","4583840.021779210","41.403133183","2.173211896"
"02-096","València","C GIRONA","110","430549.224423077","4583073.183202256","41.396197079","2.169212142"
"02-097","Balmes","C PROVENÇA","213","429662.650136100","4582689.359351980","41.392663056","2.158652385"
"02-098","Balmes","C ARAGO","236","429950.648258092","4582383.926695574","41.389937264","2.162132275"
"02-102","València","C VILLARROEL","131","429332.694556392","4582022.120843170","41.386624551","2.154783841"
"02-105","","JARD MONTSERRAT","233","428593.932248868","4581868.336226788","41.385174232","2.145966938"
"02-106","Calabria","C LONDRES","12-10","428432.484615773","4582212.727982314","41.388261693","2.143995509"
"02-107","Passadís central","PARC JOAN MIRO","2","428746.746868558","4581128.883929819","41.378527800","2.147881391"
"02-108","Passadís central","PARC JOAN MIRO","2","428782.266652187","4581093.183604859","41.378209404","2.148310322"
"02-109","zona pipican (gossos)","C DIPUTACIO","12","428882.426442489","4581045.252769599","41.377786566","2.149513626"
"02-110","caseta","PARC JOAN MIRO","4","428845.846048026","4581000.722979286","41.377382268","2.149081440"
